key;severity;priority;changelog;num_comments;num_commenters;should_have_been_found;detection_phase;defect_root_cause;linked_fixes;linked_tasks
REPORT-0010;SEVERE;Normal;[('In Progress', '2026-03-31T08:51:14.276+0300'), ('Closed', '2026-04-09T14:21:32.238+0300')];8;3;I&V System testing;Verification;ID content insufficient/missing;['FIX-0190'];['TASK-0247']
REPORT-0011;LOW;Normal;[('In Progress', '2026-03-27T15:25:41.969+0200'), ('Closed', '2026-04-08T10:24:58.103+0300')];5;3;I&V Regression / Upgrade testing;Verification;ID content insufficient/missing;['FIX-0214'];['TASK-0175']
REPORT-0012;SEVERE;Normal;[('In Progress', '2026-03-26T11:11:00.120+0200'), ('In Progress', '2026-03-26T19:10:25.694+0200'), ('In Progress', '2026-03-26T19:11:23.090+0200'), ('In Progress', '2026-03-27T07:44:44.402+0200'), ('In Progress', '2026-03-27T07:46:27.944+0200'), ('Closed', '2026-04-16T10:41:57.499+0300')];8;3;Code review;Integration;ID content insufficient/missing;['FIX-0411'];['TASK-0087']
REPORT-0013;SEVERE;Normal;[('In Progress', '2026-03-26T12:02:18.439+0200'), ('In Progress', '2026-03-26T13:21:58.917+0200'), ('In Progress', '2026-03-26T13:22:58.501+0200'), ('Closed', '2026-04-02T15:17:08.968+0300')];12;4;Code review;Verification;Code – component internal coding mistake;['FIX-0085'];['TASK-0191']
REPORT-0014;LOW;Normal;[('In Progress', '2026-03-30T09:29:36.539+0300'), ('Closed', '2026-04-17T13:55:39.534+0300')];5;3;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0166']
REPORT-0015;SEVERE;Normal;[('In Progress', '2026-03-25T10:59:18.138+0200'), ('Closed', '2026-03-30T09:47:02.319+0300')];6;3;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];[]
REPORT-0016;SEVERE;Normal;[('In Progress', '2026-03-26T15:51:36.674+0200'), ('Closed', '2026-03-30T09:50:00.785+0300')];3;2;SW I&V / Smoke testing;Verification;ID content insufficient/missing;['FIX-0028', 'FIX-0343'];['TASK-0120']
REPORT-0017;SEVERE;Normal;[('In Progress', '2026-03-25T17:12:00.132+0200'), ('Closed', '2026-03-31T08:26:13.308+0300'), ('Open', '2026-04-07T08:55:52.913+0300'), ('In Progress', '2026-04-13T14:02:42.469+0300'), ('Closed', '2026-04-14T16:56:32.111+0300')];29;7;ID review;Verification;Code – caused by previous fix;['FIX-0249', 'FIX-0320', 'FIX-0462'];['TASK-0294', 'TASK-0338']
REPORT-0018;SEVERE;Normal;[('In Progress', '2026-03-24T15:40:11.489+0200'), ('Closed', '2026-03-25T10:16:29.649+0200')];1;1;Not a bug / Problem not reproducible;Verification;Duplicate;[];['TASK-0244']
REPORT-0019;SEVERE;Critical;[('In Progress', '2026-03-24T13:08:48.783+0200'), ('Closed', '2026-03-30T19:00:19.381+0300')];4;3;ID review;Verification;Code – interworking/interface with external component;['FIX-0270'];['TASK-0159']
REPORT-0020;SEVERE;Critical;[('In Progress', '2026-03-25T08:14:17.033+0200'), ('Closed', '2026-03-25T14:43:37.222+0200')];8;4;I&V System testing;Verification;ID content insufficient/missing;['FIX-0118', 'FIX-0250'];['TASK-0271']
REPORT-0021;SEVERE;Normal;[('In Progress', '2026-03-19T08:05:58.994+0200'), ('Closed', '2026-03-23T13:42:02.592+0200')];4;3;SW Unit / Module testing;Verification;Code – component internal coding mistake;['FIX-0460'];['TASK-0093']
REPORT-0022;SEVERE;Normal;[('In Progress', '2026-03-19T10:39:05.739+0200'), ('Closed', '2026-03-23T22:58:32.071+0200')];2;1;ID review;Verification;ID content insufficient/missing;['FIX-0141'];['TASK-0030']
REPORT-0023;SEVERE;Critical;[('In Progress', '2026-03-17T12:51:53.196+0200'), ('Closed', '2026-04-01T09:09:04.745+0300')];10;3;ID review;Verification;Code – component internal coding mistake;['FIX-0161'];['TASK-0005', 'TASK-0109']
REPORT-0024;SEVERE;Critical;[('In Progress', '2026-03-16T13:08:00.755+0200'), ('In Progress', '2026-03-25T10:47:13.113+0200'), ('In Progress', '2026-03-25T10:47:40.999+0200'), ('In Progress', '2026-03-25T10:50:10.671+0200'), ('Closed', '2026-04-08T13:20:39.884+0300')];35;6;Code review;Verification;Requirement/SFS not clear and/or missing;['FIX-0004'];['TASK-0104']
REPORT-0025;FATAL;Critical;[('In Progress', '2026-03-16T10:50:42.075+0200'), ('Closed', '2026-04-15T08:29:18.074+0300')];25;6;I&V System testing;Verification;ID content insufficient/missing;['FIX-0347'];['TASK-0281']
REPORT-0026;SEVERE;Critical;[('In Progress', '2026-03-17T08:30:03.837+0200'), ('Closed', '2026-03-17T14:04:37.953+0200')];4;3;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0020']
REPORT-0027;SEVERE;Normal;[('In Progress', '2026-03-13T16:36:51.223+0200'), ('Closed', '2026-03-13T16:39:02.366+0200')];7;4;Not a bug / Problem not reproducible;Verification;Misunderstanding by end user;[];[]
REPORT-0028;SEVERE;Critical;[('In Progress', '2026-03-11T13:44:25.654+0200'), ('Closed', '2026-03-11T13:45:49.944+0200')];1;1;Not a bug / Problem not reproducible;Verification;Duplicate;[];[]
REPORT-0029;SEVERE;Critical;[('In Progress', '2026-03-17T10:04:13.142+0200'), ('Closed', '2026-03-17T10:08:07.960+0200'), ('Open', '2026-03-18T06:36:03.443+0200'), ('In Progress', '2026-03-19T09:55:24.774+0200'), ('Closed', '2026-04-09T10:24:47.371+0300')];17;7;Not a bug / Problem not reproducible;Verification;Code – interworking/interface with internal component;['FIX-0060'];['TASK-0263']
REPORT-0030;SEVERE;Critical;[('In Progress', '2026-03-06T16:32:20.763+0200'), ('In Progress', '2026-03-12T11:21:07.813+0200'), ('Closed', '2026-03-14T08:51:28.823+0200')];8;3;ID review;Verification;Code – component internal coding mistake;['FIX-0265'];['TASK-0072']
REPORT-0031;SEVERE;Normal;[('In Progress', '2026-03-20T10:40:45.335+0200'), ('Closed', '2026-03-20T14:50:50.937+0200')];4;2;SW Unit / Module testing;Verification;Code – interworking/interface with internal component;['FIX-0104'];['TASK-0153']
REPORT-0032;FATAL;Critical;[('In Progress', '2026-03-03T10:32:38.670+0200'), ('In Progress', '2026-03-13T15:42:11.981+0200'), ('In Progress', '2026-03-13T16:01:20.748+0200'), ('In Progress', '2026-03-13T16:06:25.619+0200'), ('Closed', '2026-03-26T10:58:41.709+0200')];36;8;Code review;Verification;ID content insufficient/missing;['FIX-0140', 'FIX-0095', 'FIX-0291', 'FIX-0316', 'FIX-0451'];['TASK-0280', 'TASK-0310']
REPORT-0033;FATAL;Normal;[('In Progress', '2026-02-26T15:15:59.064+0200'), ('Closed', '2026-03-02T08:52:06.550+0200')];8;5;SW I&V / Smoke testing;Verification;ID content insufficient/missing;['FIX-0422'];[]
REPORT-0034;SEVERE;Critical;[('In Progress', '2026-02-25T09:43:12.859+0200'), ('Closed', '2026-03-20T12:09:47.742+0200')];22;5;ID review;Verification;Code – interworking/interface with external component;['FIX-0315'];['TASK-0200', 'TASK-0057']
REPORT-0035;FATAL;Emergency;[('In Progress', '2026-02-26T13:04:54.598+0200'), ('Closed', '2026-03-02T11:54:28.107+0200')];5;4;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0241']
REPORT-0036;SEVERE;Normal;[('In Progress', '2026-02-23T09:51:45.603+0200'), ('In Progress', '2026-02-23T11:33:05.759+0200'), ('Closed', '2026-02-25T11:06:57.764+0200')];3;2;SW Unit / Module testing;Verification;Code – caused by previous fix;['FIX-0404'];[]
REPORT-0037;SEVERE;Critical;[('In Progress', '2026-02-25T20:33:30.598+0200'), ('Closed', '2026-03-21T11:44:48.051+0200')];2;2;ID review;Verification;ID content insufficient/missing;['FIX-0475'];['TASK-0273']
REPORT-0038;SEVERE;Critical;[('In Progress', '2026-02-18T08:44:56.768+0200'), ('Closed', '2026-03-31T14:15:29.300+0300')];13;7;I&V System testing;Verification;ID content insufficient/missing;['FIX-0403'];['TASK-0252']
REPORT-0039;SEVERE;Critical;[('In Progress', '2026-02-24T16:15:01.337+0200'), ('Closed', '2026-03-23T20:07:09.847+0200')];6;3;ID review;Verification;Code – interworking/interface with internal component;['FIX-0168'];['TASK-0194', 'TASK-0213']
REPORT-0040;SEVERE;Critical;[('In Progress', '2026-02-13T10:02:01.851+0200'), ('Closed', '2026-02-13T10:03:01.625+0200')];1;1;Not a bug / Problem not reproducible;Verification;Build environment;[];[]
REPORT-0041;FATAL;Critical;[('In Progress', '2026-02-18T12:53:41.871+0200'), ('Closed', '2026-02-18T12:55:11.566+0200')];9;8;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];[]
REPORT-0042;FATAL;Normal;[('In Progress', '2026-03-24T15:51:56.616+0200'), ('Closed', '2026-03-24T15:53:20.447+0200')];15;4;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0308']
REPORT-0043;FATAL;Critical;[('In Progress', '2026-03-02T12:09:24.060+0200'), ('Closed', '2026-03-02T12:10:22.470+0200')];9;4;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0133']
REPORT-0044;SEVERE;Critical;[('In Progress', '2026-02-09T15:42:26.543+0200'), ('In Progress', '2026-02-13T12:27:11.080+0200'), ('In Progress', '2026-02-13T13:35:30.271+0200'), ('Closed', '2026-03-12T23:23:32.907+0200')];6;3;ID review;Verification;Code – caused by previous fix;['FIX-0138'];['TASK-0096']
REPORT-0045;SEVERE;Normal;[('In Progress', '2026-02-10T09:59:33.287+0200'), ('Closed', '2026-03-06T09:34:04.234+0200')];50;8;Code review;Verification;Code – interworking/interface with internal component;['FIX-0056', 'FIX-0382'];['TASK-0223']
REPORT-0046;SEVERE;Critical;[('In Progress', '2026-02-11T10:04:58.722+0200'), ('In Progress', '2026-02-11T11:04:27.902+0200'), ('Closed', '2026-03-12T23:55:05.058+0200')];5;4;ID review;Verification;Code – component internal coding mistake;['FIX-0053'];['TASK-0222']
REPORT-0047;SEVERE;Critical;[('In Progress', '2026-03-02T15:07:20.655+0200'), ('Closed', '2026-03-02T15:08:04.940+0200')];6;4;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0149']
REPORT-0048;SEVERE;Critical;[('In Progress', '2026-02-18T08:44:47.505+0200'), ('Closed', '2026-04-10T14:47:34.715+0300')];19;7;I&V System testing;Verification;ID content insufficient/missing;['FIX-0466'];['TASK-0090', 'TASK-0272']
REPORT-0049;FATAL;Critical;[('In Progress', '2026-02-24T09:10:11.204+0200'), ('Closed', '2026-04-01T15:30:18.011+0300')];50;9;I&V System testing;Verification;Code – interworking/interface with internal component;['FIX-0216', 'FIX-0364'];['TASK-0097', 'TASK-0125']
REPORT-0050;FATAL;Critical;[('In Progress', '2026-02-16T08:42:51.613+0200'), ('Closed', '2026-03-11T15:24:58.950+0200')];24;9;I&V System testing;Verification;ID content insufficient/missing;['FIX-0300'];['TASK-0285', 'TASK-0284']
REPORT-0051;SEVERE;Critical;[('In Progress', '2026-02-06T13:42:43.550+0200'), ('Closed', '2026-02-06T15:02:37.741+0200')];5;3;Not a bug / Problem not reproducible;Verification;Incorrect configuration;[];[]
REPORT-0052;SEVERE;Critical;[('In Progress', '2026-03-04T10:19:40.294+0200'), ('Closed', '2026-03-04T10:20:20.165+0200')];4;2;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];[]
REPORT-0053;LOW;Normal;[('In Progress', '2026-02-27T10:45:04.093+0200'), ('Closed', '2026-03-09T12:35:16.686+0200')];8;4;Code review;Verification;Code – component internal coding mistake;['FIX-0049'];['TASK-0291']
REPORT-0054;SEVERE;Critical;[('In Progress', '2026-02-13T09:59:32.212+0200'), ('In Progress', '2026-03-04T10:05:16.878+0200'), ('Closed', '2026-03-04T10:25:22.959+0200')];7;3;Code review;Verification;ID content insufficient/missing;['FIX-0083'];['TASK-0144']
REPORT-0055;SEVERE;Normal;[('In Progress', '2026-02-02T08:19:21.130+0200'), ('In Progress', '2026-02-26T11:24:04.974+0200'), ('Closed', '2026-02-26T12:16:30.494+0200')];12;6;I&V System testing;Customer;Code – interworking/interface with internal component;['FIX-0432'];['TASK-0143', 'TASK-0026']
REPORT-0056;SEVERE;Normal;[('In Progress', '2026-02-13T12:42:47.608+0200'), ('Closed', '2026-03-02T13:40:56.409+0200')];8;4;SW Unit / Module testing;Verification;Code – caused by previous fix;['FIX-0434', 'FIX-0088'];['TASK-0216', 'TASK-0086', 'TASK-0028']
REPORT-0057;SEVERE;Normal;[('In Progress', '2026-02-11T07:31:33.235+0200'), ('Closed', '2026-02-13T08:02:30.243+0200')];24;6;Code review;Verification;Code – component internal coding mistake;['FIX-0406'];['TASK-0134']
REPORT-0058;SEVERE;Normal;[('In Progress', '2026-01-30T10:08:43.347+0200'), ('Closed', '2026-02-05T09:37:11.259+0200')];4;4;SW I&V / Smoke testing;Verification;Code – component internal coding mistake;['FIX-0153'];['TASK-0095']
REPORT-0059;FATAL;Normal;[('In Progress', '2026-02-06T12:18:54.289+0200'), ('Closed', '2026-03-02T11:49:00.815+0200')];15;5;Not a bug / Problem not reproducible;Verification;Incorrect configuration;[];['TASK-0318']
REPORT-0060;SEVERE;Normal;[('In Progress', '2026-01-29T10:08:12.056+0200'), ('Closed', '2026-02-17T15:20:42.197+0200')];12;4;SFS / SFIS review;Customer;Code – interworking/interface with internal component;['FIX-0398'];[]
REPORT-0061;SEVERE;Normal;[('In Progress', '2026-01-26T15:36:34.048+0200'), ('Closed', '2026-02-01T16:27:07.502+0200')];8;4;Code review;Verification;Code – component internal coding mistake;['FIX-0340'];['TASK-0286', 'TASK-0114']
REPORT-0062;SEVERE;Normal;[('In Progress', '2026-01-26T13:13:12.921+0200'), ('Closed', '2026-01-26T13:45:48.416+0200')];0;0;SW Unit / Module testing;Verification;ID content insufficient/missing;['FIX-0139'];[]
REPORT-0063;SEVERE;Normal;[('In Progress', '2026-01-26T13:35:11.121+0200'), ('Closed', '2026-02-09T08:51:55.034+0200')];2;1;ID review;Verification;Code – component internal coding mistake;['FIX-0371'];['TASK-0027', 'TASK-0324']
REPORT-0064;FATAL;Critical;[('In Progress', '2026-01-23T10:46:54.523+0200'), ('Closed', '2026-02-26T11:29:21.739+0200')];27;9;Code review;Verification;ID content insufficient/missing;['FIX-0082', 'FIX-0307'];['TASK-0293']
REPORT-0065;SEVERE;Normal;[('In Progress', '2026-01-26T11:03:40.696+0200'), ('In Progress', '2026-02-02T12:50:03.075+0200'), ('In Progress', '2026-02-02T12:50:16.104+0200'), ('In Progress', '2026-02-02T12:50:45.954+0200'), ('Closed', '2026-02-04T11:17:58.616+0200'), ('Open', '2026-02-12T09:10:11.061+0200'), ('In Progress', '2026-02-12T10:41:32.726+0200'), ('Closed', '2026-04-09T13:09:16.285+0300')];12;6;Code review;Verification;ID content insufficient/missing;['FIX-0134', 'FIX-0283'];['TASK-0044', 'TASK-0136', 'TASK-0163']
REPORT-0066;LOW;Normal;[('In Progress', '2026-03-04T10:01:25.555+0200'), ('Closed', '2026-03-06T15:36:20.740+0200'), ('Open', '2026-03-06T16:45:09.011+0200'), ('In Progress', '2026-03-06T16:45:20.808+0200'), ('Closed', '2026-03-06T16:46:02.272+0200')];5;2;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];[]
REPORT-0067;SEVERE;Normal;[('In Progress', '2026-01-20T09:42:26.299+0200'), ('In Progress', '2026-01-23T11:10:26.588+0200'), ('Closed', '2026-01-31T13:33:46.702+0200')];3;2;Code review;Verification;Code – component internal coding mistake;['FIX-0245'];['TASK-0053']
REPORT-0068;SEVERE;Critical;[('In Progress', '2026-01-19T10:27:47.944+0200'), ('Closed', '2026-02-05T22:16:17.223+0200')];5;2;ID review;Verification;ID content insufficient/missing;['FIX-0380', 'FIX-0177'];['TASK-0164', 'TASK-0118']
REPORT-0069;SEVERE;Critical;[('In Progress', '2026-02-09T11:38:27.756+0200'), ('Closed', '2026-02-27T10:01:45.471+0200')];13;6;Code review;Verification;Code – component internal coding mistake;['FIX-0102'];['TASK-0287', 'TASK-0088']
REPORT-0070;LOW;Normal;[('In Progress', '2026-01-15T14:32:12.738+0200'), ('In Progress', '2026-01-21T10:36:18.085+0200'), ('Closed', '2026-01-26T09:19:34.021+0200')];4;3;Code review;Verification;Code – interworking/interface with internal component;['FIX-0041'];['TASK-0288']
REPORT-0071;SEVERE;Normal;[('In Progress', '2026-01-13T16:04:43.097+0200'), ('In Progress', '2026-01-23T09:28:31.440+0200'), ('Closed', '2026-01-26T07:45:50.123+0200')];4;3;Code review;Verification;Code – component internal coding mistake;['FIX-0244'];['TASK-0018']
REPORT-0072;LOW;Normal;[('In Progress', '2026-01-13T08:54:53.378+0200'), ('Closed', '2026-01-13T08:57:19.627+0200')];3;2;Not a bug / Problem not reproducible;Verification;Incorrect configuration;[];[]
REPORT-0073;SEVERE;Critical;[('In Progress', '2026-01-21T12:47:19.499+0200'), ('Closed', '2026-02-12T22:34:22.878+0200')];8;2;ID review;Verification;Code – interworking/interface with external component;['FIX-0378'];['TASK-0264', 'TASK-0131']
REPORT-0074;SEVERE;Normal;[('In Progress', '2026-01-19T10:23:03.976+0200'), ('In Progress', '2026-02-11T08:50:33.881+0200'), ('Closed', '2026-02-11T16:37:31.714+0200')];20;7;Code review;Verification;Code – component internal coding mistake;['FIX-0259', 'FIX-0341'];['TASK-0278']
REPORT-0075;FATAL;Critical;[('In Progress', '2026-01-08T17:13:17.116+0200'), ('Closed', '2026-01-12T16:31:53.510+0200')];10;3;Not a bug / Problem not reproducible;Verification;Misunderstanding by end user;[];['TASK-0192']
REPORT-0076;SEVERE;Critical;[('In Progress', '2026-01-08T10:17:37.511+0200'), ('In Progress', '2026-01-09T16:38:35.591+0200'), ('Closed', '2026-01-12T15:42:36.604+0200')];10;5;Code review;Verification;Code – interworking/interface with internal component;['FIX-0310'];['TASK-0229']
REPORT-0077;SEVERE;Normal;[('In Progress', '2026-01-08T09:21:58.073+0200'), ('Closed', '2026-01-26T07:47:34.453+0200')];6;3;Code review;Verification;Code – component internal coding mistake;['FIX-0021'];['TASK-0326']
REPORT-0078;SEVERE;Normal;[('In Progress', '2026-01-13T09:27:38.476+0200'), ('Closed', '2026-01-14T16:29:42.746+0200')];2;1;SW Unit / Module testing;Verification;Code – component internal coding mistake;['FIX-0034'];['TASK-0157']
REPORT-0079;SEVERE;Normal;[('In Progress', '2026-02-26T11:22:48.474+0200'), ('Closed', '2026-03-16T08:44:52.608+0200')];9;3;Code review;Verification;Code – component internal coding mistake;['FIX-0318'];[]
REPORT-0080;LOW;Normal;[('In Progress', '2026-01-09T10:03:07.477+0200'), ('In Progress', '2026-02-26T11:20:50.083+0200'), ('In Progress', '2026-02-26T12:31:03.531+0200'), ('Closed', '2026-02-26T12:35:16.265+0200')];11;6;I&V System testing;Field validation;Code – interworking/interface with internal component;['FIX-0232', 'FIX-0234'];['TASK-0029', 'TASK-0296']
REPORT-0081;LOW;Normal;[('In Progress', '2026-01-07T08:20:08.531+0200'), ('In Progress', '2026-01-15T09:37:04.586+0200'), ('Closed', '2026-01-23T14:15:12.757+0200')];11;3;Code review;Verification;ID content insufficient/missing;['FIX-0055'];[]
REPORT-0082;FATAL;Critical;[('In Progress', '2026-01-05T08:34:42.251+0200'), ('Closed', '2026-01-28T10:26:41.777+0200'), ('Open', '2026-01-28T11:46:29.882+0200'), ('In Progress', '2026-01-28T11:46:33.370+0200'), ('Closed', '2026-01-28T11:47:26.153+0200')];12;4;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];[]
REPORT-0083;FATAL;Normal;[('In Progress', '2025-12-22T10:56:36.730+0200'), ('In Progress', '2025-12-29T13:43:16.199+0200'), ('Closed', '2025-12-30T08:17:04.706+0200')];3;3;Code review;Verification;Code – component internal coding mistake;['FIX-0062'];['TASK-0009']
REPORT-0084;SEVERE;Normal;[('In Progress', '2026-01-07T09:48:00.042+0200'), ('Closed', '2026-01-07T09:48:04.351+0200')];5;3;Code review;Verification;Code – not according to the specification;['FIX-0162'];['TASK-0259']
REPORT-0085;LOW;Normal;[('In Progress', '2026-01-05T10:56:15.575+0200'), ('Closed', '2026-01-08T07:47:02.236+0200')];8;4;SW Unit / Module testing;Integration;ID content insufficient/missing;['FIX-0417'];['TASK-0065']
REPORT-0086;SEVERE;Critical;[('In Progress', '2026-02-11T14:30:45.168+0200'), ('Closed', '2026-02-11T14:31:51.731+0200'), ('Open', '2026-02-11T14:35:41.272+0200'), ('In Progress', '2026-02-11T14:35:45.349+0200'), ('Closed', '2026-02-11T14:37:02.265+0200')];8;5;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];[]
REPORT-0087;SEVERE;Critical;[('In Progress', '2025-12-31T14:02:27.377+0200'), ('Closed', '2026-01-19T09:17:53.385+0200')];4;3;Code review;Verification;Code – component internal coding mistake;['FIX-0298'];['TASK-0167']
REPORT-0088;SEVERE;Normal;[('In Progress', '2026-01-21T14:20:17.480+0200'), ('Closed', '2026-02-25T12:39:43.209+0200'), ('Open', '2026-02-25T15:23:40.003+0200'), ('In Progress', '2026-02-25T15:23:43.888+0200'), ('Closed', '2026-02-25T15:24:58.253+0200')];9;4;Not a bug / Problem not reproducible;Field validation;Incorrect configuration;[];['TASK-0083']
REPORT-0089;SEVERE;Normal;[('In Progress', '2025-12-23T10:00:04.758+0200'), ('Closed', '2025-12-23T10:02:58.156+0200')];6;4;Not a bug / Problem not reproducible;Verification;Code – component internal coding mistake;[];['TASK-0202']
REPORT-0090;SEVERE;Critical;[('In Progress', '2025-12-05T15:35:32.671+0200'), ('Closed', '2025-12-08T14:53:44.866+0200')];3;2;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0316']
REPORT-0091;SEVERE;Normal;[('In Progress', '2026-01-16T12:25:51.889+0200'), ('In Progress', '2026-01-30T14:05:43.426+0200'), ('In Progress', '2026-01-30T14:05:56.595+0200'), ('Closed', '2026-01-30T14:18:19.626+0200')];6;4;Not a bug / Problem not reproducible;Verification;Code – component internal coding mistake;['FIX-0079', 'FIX-0044'];['TASK-0165']
REPORT-0092;SEVERE;Critical;[('In Progress', '2025-12-08T07:47:03.503+0200'), ('Closed', '2025-12-18T15:17:28.074+0200')];5;2;Code review;Verification;ID content insufficient/missing;['FIX-0301', 'FIX-0405', 'FIX-0321'];['TASK-0089', 'TASK-0098']
REPORT-0093;SEVERE;Normal;[('In Progress', '2025-12-30T08:40:06.407+0200'), ('In Progress', '2025-12-30T15:11:50.996+0200'), ('Closed', '2025-12-31T13:38:37.685+0200')];4;4;SW Unit / Module testing;Verification;Code – component internal coding mistake;['FIX-0167', 'FIX-0128'];['TASK-0082']
REPORT-0094;SEVERE;Normal;[('In Progress', '2025-12-12T14:59:53.349+0200'), ('Closed', '2026-03-10T17:25:20.883+0200')];39;10;Code review;Verification;Code – interworking/interface with internal component;['FIX-0108'];['TASK-0000', 'TASK-0130']
REPORT-0095;SEVERE;Normal;[('In Progress', '2025-12-04T08:31:30.321+0200'), ('Closed', '2026-02-26T13:39:59.486+0200')];39;4;Code review;Verification;Code – component internal coding mistake;['FIX-0018', 'FIX-0189'];['TASK-0172']
REPORT-0096;SEVERE;Normal;[('In Progress', '2025-12-31T09:26:11.523+0200'), ('Closed', '2025-12-31T13:28:12.890+0200'), ('Open', '2026-01-07T14:06:15.528+0200'), ('In Progress', '2026-01-20T10:49:37.471+0200'), ('Closed', '2026-03-10T09:11:48.606+0200')];9;4;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;['FIX-0138'];['TASK-0062']
REPORT-0097;SEVERE;Critical;[('In Progress', '2025-12-02T16:42:03.583+0200'), ('In Progress', '2026-01-16T10:59:11.482+0200'), ('In Progress', '2026-01-16T10:59:17.650+0200'), ('Closed', '2026-01-19T10:05:20.015+0200')];10;4;Code review;Verification;ID content insufficient/missing;['FIX-0090', 'FIX-0296', 'FIX-0110'];['TASK-0329', 'TASK-0186']
REPORT-0098;SEVERE;Critical;[('In Progress', '2025-12-02T14:27:59.150+0200'), ('Closed', '2025-12-05T13:35:31.175+0200')];2;2;Code review;Verification;ID content insufficient/missing;['FIX-0376', 'FIX-0059'];['TASK-0150']
REPORT-0099;SEVERE;Critical;[('In Progress', '2025-12-08T15:01:49.097+0200'), ('Closed', '2025-12-16T09:10:37.435+0200')];7;3;ID review;Verification;Code – component internal coding mistake;['FIX-0181'];['TASK-0127', 'TASK-0232']
REPORT-0100;FATAL;Critical;[('In Progress', '2025-12-08T12:21:50.074+0200'), ('In Progress', '2025-12-29T13:40:58.909+0200'), ('Closed', '2026-01-18T10:30:08.092+0200')];6;5;Code review;Verification;ID content insufficient/missing;['FIX-0467', 'FIX-0294', 'FIX-0160'];[]
REPORT-0101;SEVERE;Normal;[('In Progress', '2025-11-27T13:05:41.409+0200'), ('Closed', '2025-12-01T10:14:31.276+0200')];3;3;Code review;Verification;Code – component internal coding mistake;['FIX-0231'];['TASK-0119']
REPORT-0102;LOW;Normal;[('In Progress', '2025-12-01T09:25:44.411+0200'), ('Closed', '2025-12-08T07:16:31.675+0200')];6;3;ID review;Verification;ID content insufficient/missing;['FIX-0051'];['TASK-0129']
